text,label,teks_bersih,skor_polaritas
Pengen photoism nsok ncan jehi knp mahal banget coba. Bisa ga split bill masa gw mulu yg bayar efrot lu mana wahai lelaki kipop,1,photoism nsok ncan jehi mahal sangat coba tidak split bill masa melulu bayar efrot kamu mana wahai lelaki kipop,0.0
@noniksipit Nah ini bener setuju. Apalagi yang baru banget pdkt baru sekali atau dua kali ketemu lebih aman ketemu di tempat aja. Selain itu juga bisa otomatis split bill. Dateng pesen bayar baru duduk ngobrol.,2,nah benar tuju yang baru sangat pdkt baru sekali dua kali ketemu lebih aman ketemu tempat aja itu bisa otomatis split bill datang pesan bayar baru duduk ngobrol,0.5865288205904786
bang gabisa apa kl kita mau ketemu tuh minimal split bill. contohnya lu bayar +-Rp4.2mio nya aku bagian bayar parkir aja gt?! gabisa ya? @donghae861015 @SJofficial,1,bang bisa apa kalau mau ketemu tuh minimal split bill contoh kamu bayar rpmio nya bagi bayar parkir gt bisa,0.0
@FWBSMG3 Spill dong cowo itu Baru kenal dan bayar hotel kok split bill wkkwkw memalukan. Suruh nabung dulu dia kak hahahaha,1,spill dong cowok baru kenal bayar hotel kok split bill wkkwkw malu suruh tabung dulu kak hahahaha,0.0
Kenalan sama cowo dr fwbsmg niatnya buat nambah temen. Tbtb ngajak jalan belum juga di iyain udah ngajakin ke hotel (req split bill) dan dengan lantam di chat dia bilang akhirnya bisa dpt cewek yg gak perlu bayar please kalian laki laki jangan ada yg kek gini yafwbsmg,1,kenal sama cowok fwbsmg niat buat tambah temen tbtb ajak jalan juga iya ngajakin hotel req split bill dengan lantam chat bilang akhir dapat cewek tidak perlu bayar please kalian laki laki jangan yang kek gin yafwbsmg,0.0
@BaseBDG anjir kabogoh urang lewih beunghar ti urg wkwkw yaa sesekali gapapa lah nderr asal jangan urang yg ngajak tapi urang nu teu boga duit. tapi urg can pernah sih dibayarin full mah mentok di split bill,1,anjir kabogoh urang lewih beunghar ti urg wkwkw yaa sekal apaapa lah nderr asal jangan urang ajak urang nu teu boga duit urg can pernah sih dibayarin full mah mentok split bill,0.0
Dan dia mengiyakan. Gw pikir bakal beneran split bill ternyata nggk wkwk. Gw yg bayarin nonton dia makan. Yg mana uang yg dia keluarkan jauh lebih besar bahkan parkir pun gw gk boleh bayar. Gw gk suka. Gk sesuai kesepakatan awal gw merasa berhutang dan itu bukan keinginan gw.,0,iya pikir bakal benar split bill nyata wkwk bayarin nonton dia makan mana uang yang dia keluar jauh lebih besar bahkan parkir boleh bayar suka tidak sesuai sepakat awal saya rasa hutang itu bukan ingin gw,-0.38728419941050196
cari cowo yg mau fwb an sama aku ga prlu bayar krna niat nya buat having fun aja gapapa split bill asal bisa sama2 jaga privasi dan cuma main sama aku aja. hmu!!!,2,cari cowok mau fwb an sama tidak prlu bayar niat nya buat having fun tidak apaapa split bill asal sama jaga privasi cuma main sama aja hmu,0.6906989856842387
@sbyfess Aku adalah org yg berani tanya nanti bayar sendiri-sendiri atau split bill? Saat diajak keluar,1,adalah orang berani tanya bayar sendirisendiri split bill ajak keluar,0.0
@indomiehypeabiz allahuakbar kalo murah mah bayar sendiri mas padahal udah ditawarin split bill bjir emg kebiasaan mokondo begini PLS NGAMUK KAK NGAMUK DONG PLS,1,allahuakbar kalau murah mah bayar sendiri mas padahal ditawarin split bill bjir memang biasa mokondo begini pls ngamuk kak ngamuk dong pls,0.0
@nrnzmnzt ak udh bawel split bill aja dari awal dia yg kekeh buat bayar malah ditagih kocak deh kak pokonya,2,aku bawel split bill dari awal yang kekeh buat bayar malah tagih kocak deh kak pokok,0.5641308238940255
@definetale @barudakalter Bukan jualan tapi nanti dia minta split bill buat bayar hotel tapi minta tf duluan sebelum ketemu nah klo udah tf baru deh di block semua nya,1,bukan jual nanti minta split bill buat bayar hotel minta tf duluan ketemu nah kalau tf baru deh block semua nya,0.0
@fwbjakarta4 minta ongkosin pulang minta isiin token listrik bau badan bersedia split bill tp minta tf ketika balik merebut hp untuk intip saldo mbanking ketika di parkiran Gak cuma cowok cewek jg sama aja rusaknya kalo lagi ktmu mutual yg rusak mah,1,minta ongkosin pulang minta isiin token listrik bau badan sedia split bill minta tf balik rebut hp intip saldo mbanking di parkir cuma cowok cewek sama rusak kalau ketemu mutual rusak mah,0.0
@KostSapik Gapapa nder namanya pacaran ya menurut gua mah gapapa banget klo split bill ga menjatuhkan harga diri lu juga kan kalau dibayarin sama dia? Misal ada rezeki lebih gapapa lu yang bayar kalau dia ada rezeki lebih dia yang bayar. Tergantung manset,2,apaapa nder nama pacar turut mah apaapa sangat kalau split bill jatuh harga diri kamu kan kalau dibayarin sama misal rezeki lebih apaapa kamu bayar kalau ada rezeki lebih yang bayar gantung manset,0.6663760519425911
